state,visited
Alabama,24
Alaska,7
Arizona,37
Arkansas,13
California,141
Colorado,41
Connecticut,2
Delaware,2
District of Columbia,7
Florida,50
Georgia,51
Hawaii,6
Idaho,13
Illinois,28
Indiana,22
Iowa,9
Kansas,11
Kentucky,23
Louisiana,22
Maine,6
Maryland,16
Massachusetts,11
Michigan,24
Minnesota,13
Mississippi,22
Missouri,32
Montana,7
Nebraska,10
Nevada,11
New Hampshire,2
New Jersey,11
New Mexico,27
New York,20
North Carolina,27
North Dakota,3
Ohio,27
Oklahoma,18
Oregon,17
Pennsylvania,25
Rhode Island,1
South Carolina,16
South Dakota,3
Tennessee,33
Texas,95
Utah,12
Vermont,2
Virginia,21
Washington,13
West Virginia,6
Wisconsin,11
Wyoming,3
